Metric,Metric_Unit,US_Unit,State,Ingredients
240,ml,cup / cups,Liquid,Liquid
473,ml,pint,Liquid,Liquid
15,ml,tablespoon / tablespoons,Liquid,Liquid
28,g,ounce / ounces,Solid,Solid
448,g,lb / pounds / pound,Solid,Solid
128,g,cup chopped,Solid,Solid
110,g,cup grated,Solid,Solid
122,g,cup strips / cup sliced,Solid,Solid
150,g,cup,Solid,Flour
200,g,cup,Solid,Caster / Granulated / Brown Sugar
125,g,cup,Solid,Icing Sugar
225,g,cup,Solid,Butter / Margarine / Lard
170,g,cup,Solid,Sultanas / Raisins
150,g,cup,Solid,Currants
110,g,cup,Solid,Ground Almonds
200,g,cup,Solid,Uncooked Rice
110,g,cup,Solid,Grated Cheese
85,g,cup,Solid,Porridge Oats
340,g,cup,Solid,Honey / Syrup
150,g,cup,Solid,Chocolate Chips
125,g,cup,Solid,Cocoa Powder
100,g,cup,Solid,Walnut / Pecan Halves
190,g,cup,Solid,Lentils
175,g,cup,Solid,Couscous
120,g,cup,Solid,Breadcrumbs
80,g,cup,Solid,Parmesan cheese
120,g,cup,Solid,Cheddar cheese
18,g,tablespoon / tablespoons,Solid,Salt
15,g,tablespoon / tablespoons,Solid,Baking Powder
75,g,cup,Solid,Desiccated Coconut
125,g,cup,Solid,Chopped Walnuts / Pecans
